2020-07-12 14:16:30,490 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552589, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:30,492 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552589, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:30,492 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:30,493 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:30,494 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:30,498 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552590, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:30,498 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552590, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:31,499 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:31,499 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552590, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:31,500 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552590, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:31,500 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:31,501 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:31,501 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:31,501 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552591, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:31,501 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552591, 'to': '#test', 'from': 'test', 'message': 'test'}
